mouse_cage,sex_M1F2,Age,AI_E16-17_dose,trial,rotarod_hang_seconds
Halfs3-5-1-1,1,P106,MOE50,#1,35.3
Halfs3-5-1-1,1,P106,MOE50,#2,29.6
Halfs3-5-1-1,1,P106,MOE50,#3,64
Halfs3-5-1-1,1,P106,MOE50,#4,131
Halfs3-5-1-1,1,P106,MOE50,#5,
Halfs3-5-1-2,2,P106,MOE50,#1,85
Halfs3-5-1-2,2,P106,MOE50,#2,53
Halfs3-5-1-2,2,P106,MOE50,#3,180
Halfs3-5-1-2,2,P106,MOE50,#4,
Halfs3-5-1-2,2,P106,MOE50,#5,
Halfs3-5-1-3,1,P106,MOE50,#1,52.1
Halfs3-5-1-3,1,P106,MOE50,#2,122
Halfs3-5-1-3,1,P106,MOE50,#3,
Halfs3-5-1-3,1,P106,MOE50,#4,
Halfs3-5-1-3,1,P106,MOE50,#5,
Halfs20-3-1-1,2,P93,MOE50,#1,
Halfs20-3-1-1,2,P93,MOE50,#2,180
Halfs20-3-1-1,2,P93,MOE50,#3,
Halfs20-3-1-1,2,P93,MOE50,#4,
Halfs20-3-1-1,2,P93,MOE50,#5,
Halfs20-3-1-2,2,P93,MOE50,#1,45
Halfs20-3-1-2,2,P93,MOE50,#2,180
Halfs20-3-1-2,2,P93,MOE50,#3,
Halfs20-3-1-2,2,P93,MOE50,#4,
Halfs20-3-1-2,2,P93,MOE50,#5,
Halfs20-3-1-3,2,P93,MOE50,#1,24
Halfs20-3-1-3,2,P93,MOE50,#2,50
Halfs20-3-1-3,2,P93,MOE50,#3,94
Halfs20-3-1-3,2,P93,MOE50,#4,45
Halfs20-3-1-3,2,P93,MOE50,#5,71
Halfs25-1-1,2,P97,MOE50,#1,29
Halfs25-1-1,2,P97,MOE50,#2,22
Halfs25-1-1,2,P97,MOE50,#3,8
Halfs25-1-1,2,P97,MOE50,#4,65
Halfs25-1-1,2,P97,MOE50,#5,81
Halfs10-1-1,2,P106,MOE100,#1,28.7
Halfs10-1-1,2,P106,MOE100,#2,48.8
Halfs10-1-1,2,P106,MOE100,#3,180
Halfs10-1-1,2,P106,MOE100,#4,
Halfs10-1-1,2,P106,MOE100,#5,
Halfs10-1-2,2,P106,MOE100,#1,174
Halfs10-1-2,2,P106,MOE100,#2,53.5
Halfs10-1-2,2,P106,MOE100,#3,
Halfs10-1-2,2,P106,MOE100,#4,
Halfs10-1-2,2,P106,MOE100,#5,
Halfs10-1-3,2,P106,MOE100,#1,4.1
Halfs10-1-3,2,P106,MOE100,#2,38.6
Halfs10-1-3,2,P106,MOE100,#3,23.3
Halfs10-1-3,2,P106,MOE100,#4,22.3
Halfs10-1-3,2,P106,MOE100,#5,74
Halfs7-3-1-1,2,P106,MOE100,#1,45.3
Halfs7-3-1-1,2,P106,MOE100,#2,25.1
Halfs7-3-1-1,2,P106,MOE100,#3,20
Halfs7-3-1-1,2,P106,MOE100,#4,20.8
Halfs7-3-1-1,2,P106,MOE100,#5,10.6
Halfs20-1-1-1,2,P107,MOE100,#1,2
Halfs20-1-1-1,2,P107,MOE100,#2,1
Halfs20-1-1-1,2,P107,MOE100,#3,2
Halfs20-1-1-1,2,P107,MOE100,#4,2
Halfs20-1-1-1,2,P107,MOE100,#5,2
Halfs16-1,2,P106,MOE200,#1,57.6
Halfs16-2,2,P106,MOE200,#2,21.7
Halfs1-5-1-1,1,P92,MOE200,#3,85
Halfs1-5-1-2,2,P92,MOE200,#4,20.3
Halfs1-5-1-3,1,P92,MOE200,#5,
Halfs26-1-1-1,2,P104,MOE200,#1,42.8
Halfs26-1-1-2,1,P104,MOE200,#2,27
Halfs26-1-1-3,1,P104,MOE200,#3,7.8
Halfs16-1,2,P106,MOE200,#4,36
Halfs16-2,2,P106,MOE200,#5,180
Halfs1-5-1-1,1,P92,MOE200,#1,28
Halfs1-5-1-2,2,P92,MOE200,#2,12
Halfs1-5-1-3,1,P92,MOE200,#3,9.4
Halfs26-1-1-1,2,P104,MOE200,#4,18.1
Halfs26-1-1-2,1,P104,MOE200,#5,81
Halfs26-1-1-3,1,P104,MOE200,#1,23.6
Halfs16-1,2,P106,MOE200,#2,26
Halfs16-2,2,P106,MOE200,#3,82
Halfs1-5-1-1,1,P92,MOE200,#4,43.6
Halfs1-5-1-2,2,P92,MOE200,#5,
Halfs1-5-1-3,1,P92,MOE200,#1,0
Halfs26-1-1-1,2,P104,MOE200,#2,29
Halfs26-1-1-2,1,P104,MOE200,#3,75
Halfs26-1-1-3,1,P104,MOE200,#4,43.4
Halfs16-1,2,P106,MOE200,#5,
Halfs16-2,2,P106,MOE200,#1,180
Halfs1-5-1-1,1,P92,MOE200,#2,
Halfs1-5-1-2,2,P92,MOE200,#3,
Halfs1-5-1-3,1,P92,MOE200,#4,
Halfs26-1-1-1,2,P104,MOE200,#5,
Halfs26-1-1-2,1,P104,MOE200,#1,180
Halfs26-1-1-3,1,P104,MOE200,#2,
Halfs16-1,2,P106,MOE200,#3,
Halfs16-2,2,P106,MOE200,#4,
Halfs1-5-1-1,1,P92,MOE200,#5,
Halfs1-5-1-2,2,P92,MOE200,#1,47
Halfs1-5-1-3,1,P92,MOE200,#2,28
Halfs26-1-1-1,2,P104,MOE200,#3,60
Halfs26-1-1-2,1,P104,MOE200,#4,28
Halfs26-1-1-3,1,P104,MOE200,#5,180
Halfs6-5-1,1,P107,MOE400,#1,24
Halfs6-5-1,1,P107,MOE400,#2,124
Halfs6-5-1,1,P107,MOE400,#3,180
Halfs6-5-1,1,P107,MOE400,#4,
Halfs6-5-1,1,P107,MOE400,#5,
Halfs26-3-1,2,P89,MOE400,#1,33
Halfs26-3-1,2,P89,MOE400,#2,180
Halfs26-3-1,2,P89,MOE400,#3,
Halfs26-3-1,2,P89,MOE400,#4,
Halfs26-3-1,2,P89,MOE400,#5,
Half25-6-1,2,P145,Het,#1,10.6
Half25-6-1,2,P145,Het,#2,180
Half25-6-1,2,P145,Het,#3,
Half25-6-1,2,P145,Het,#4,
Half25-6-1,2,P145,Het,#5,
Half25-6-1,2,P145,Het,#6,
Half25-6-1,2,P145,Het,#7,
Half25-6-1,2,P145,Het,#8,
Half25-6-1,2,P145,Het,#9,
Half25-6-2,2,P145,Het,#1,5.5
Half25-6-2,2,P145,Het,#2,33.5
Half25-6-2,2,P145,Het,#3,0.1
Half25-6-2,2,P145,Het,#4,180
Half25-6-2,2,P145,Het,#5,
Half25-6-2,2,P145,Het,#6,
Half25-6-2,2,P145,Het,#7,
Half25-6-2,2,P145,Het,#8,
Half25-6-2,2,P145,Het,#9,
Half25-6-3,2,P145,Het,#1,2
Half25-6-3,2,P145,Het,#2,15.9
Half25-6-3,2,P145,Het,#3,20.2
Half25-6-3,2,P145,Het,#4,44.2
Half25-6-3,2,P145,Het,#5,36.7
Half25-6-3,2,P145,Het,#6,28.9
Half25-6-3,2,P145,Het,#7,75
Half25-6-3,2,P145,Het,#8,101
Half25-6-3,2,P145,Het,#9,
Half25-6-4,2,P145,Het,#1,16.7
Half25-6-4,2,P145,Het,#2,22.6
Half25-6-4,2,P145,Het,#3,0
Half25-6-4,2,P145,Het,#4,31.8
Half25-6-4,2,P145,Het,#5,0.1
Half25-6-4,2,P145,Het,#6,180
Half25-6-4,2,P145,Het,#7,
Half25-6-4,2,P145,Het,#8,
Half25-6-4,2,P145,Het,#9,
Half25-6-5,2,P145,Het,#1,7.3
Half25-6-5,2,P145,Het,#2,12.3
Half25-6-5,2,P145,Het,#3,29.1
Half25-6-5,2,P145,Het,#4,39.7
Half25-6-5,2,P145,Het,#5,36.8
Half25-6-5,2,P145,Het,#6,0.1
Half25-6-5,2,P145,Het,#7,177
Half25-6-5,2,P145,Het,#8,
Half25-6-5,2,P145,Het,#9,
Half43-1-1,1,P139,Het,#1,180
Half43-1-1,1,P139,Het,#2,
Half43-1-1,1,P139,Het,#3,
Half43-1-1,1,P139,Het,#4,
Half43-1-1,1,P139,Het,#5,
Half43-1-1,1,P139,Het,#6,
Half43-1-1,1,P139,Het,#7,
Half43-1-1,1,P139,Het,#8,
Half43-1-1,1,P139,Het,#9,
Half43-1-2,1,P139,Het,#1,56
Half43-1-2,1,P139,Het,#2,0
Half43-1-2,1,P139,Het,#3,50.7
Half43-1-2,1,P139,Het,#4,180
Half43-1-2,1,P139,Het,#5,
Half43-1-2,1,P139,Het,#6,
Half43-1-2,1,P139,Het,#7,
Half43-1-2,1,P139,Het,#8,
Half43-1-2,1,P139,Het,#9,
Half43-1-3,1,P139,Het,#1,85
Half43-1-3,1,P139,Het,#2,180
Half43-1-3,1,P139,Het,#3,
Half43-1-3,1,P139,Het,#4,
Half43-1-3,1,P139,Het,#5,
Half43-1-3,1,P139,Het,#6,
Half43-1-3,1,P139,Het,#7,
Half43-1-3,1,P139,Het,#8,
Half43-1-3,1,P139,Het,#9,
Half43-1-4,1,P139,Het,#1,7.4
Half43-1-4,1,P139,Het,#2,117
Half43-1-4,1,P139,Het,#3,180
Half43-1-4,1,P139,Het,#4,
Half43-1-4,1,P139,Het,#5,
Half43-1-4,1,P139,Het,#6,
Half43-1-4,1,P139,Het,#7,
Half43-1-4,1,P139,Het,#8,
Half43-1-4,1,P139,Het,#9,
Half31-8-1,1,P143,Het,#1,5.1
Half31-8-1,1,P143,Het,#2,14
Half31-8-1,1,P143,Het,#3,19.6
Half31-8-1,1,P143,Het,#4,14.9
Half31-8-1,1,P143,Het,#5,22.2
Half31-8-1,1,P143,Het,#6,22.4
Half31-8-1,1,P143,Het,#7,82
Half31-8-1,1,P143,Het,#8,65
Half31-8-1,1,P143,Het,#9,
